id_fragmentu,id_tekstu,ocena,od,do,id_anotatora,id_mniejszosci,negatywne_emocje,wezw_ddzial,typ_ramki,ironia_sarkazm,temat,id_projektu,tekst,id_maszynowy
1,121713,0,,,1,72,0,0,2,0,"18",3," <font color=\"blue\"> Niemiec</font> mówi co innego",53893
2,50245,0,,,1,51,1,0,2,0,"18",3," <s> Za</s> każdym razem <s> kiedy</s> wypływa temat <font color=\"blue\"> homoseksualistów</font> mam mieszane uczucia",67630
3,154096,0,,,1,71,1,0,2,0,"4",3," <s> gt</s> Raczej przykład <font color=\"blue\"> żydowskiego</font> szowinizmu",236496
7,99496,1,,,10,51,1,0,2,0,"11",3," <s> Podobno</s> <font color=\"blue\"> homoseksualiści</font> mają normalny popęd seksualny tylko uległ on zaburzeniu często na skutek trudnych przeżyć urazów emocjonalnych",85575
5,30746,0,,,1,78,1,0,2,0,"15",3," <font color=\"blue\"> Ukrainka</font> zrobiła z Pazury wała",114459
6,52072,2,,,1,80,0,0,2,0,"7",3," Tak <s> Chinczycy</s> jak i <font color=\"blue\"> Wietnamczycy</font> rzadko siedza na zasilkach i rzadko kombinuja jak oszukac rzad na kilka dolarow",199320
8,99499,0,,,12,13,0,0,2,0,"0",3," <s> Ja</s> niedawno ogladałam program w którym <font color=\"blue\"> murzynka</font> musiała nakładać tone tynku na twarz zeby zakryc biale plamy na twarzy",123866
9,99590,1,,,10,51,1,0,2,0,"6",3," Ludzie postrzegają nas przez stereotyp przez pryzmat <font color=\"blue\"> gejów</font> gwiazdeczek tych niemęskich krzykliwych modnych",26791
10,99649,2,,,10,71,2,0,2,0,"6",3," odezwał się fan Rydzyka też chory z nienawiści do <font color=\"blue\"> Żydów</font>",27289
11,99676,1,,,10,51,1,0,2,0,"3",3," <s> W</s> ramach tolerancji proponuję darować im Ale niech nie narzucają nam norm zasad moralnych i niech jadą do <s> USA</s> <s> A</s> Piroga <font color=\"brown\"> nie lubię</font> nie dlatego jest <font color=\"blue\"> pedziem</font> tylko dlatego jest kiepskim tancerzem",182205
12,99766,1,,,10,51,1,0,2,0,"18",3," i nie nazywaj wszystkich ludzi <font color=\"brown\"> nie będących homofobami</font> <font color=\"blue\"> gejami</font> ignorancie",47226
13,99794,1,,,10,52,1,0,2,0,"18",3," <s> S</s> o w i <s> s</s> <s> k</s> a ta kobieta wyglada na <font color=\"blue\"> lesbijkę</font>",155876
14,99806,0,,,10,0,0,0,0,0,"0",2," WESOŁY <font color=\"blue\"> ROMEK</font> MAM <s> NA</s> PRZEDMIEŚCIU DOMEK <s> ZGAZEM</s> <s> I</s> <s> PRUNDEM</s>",112684
15,99845,0,,,10,10,0,0,0,0,"0",2," Wybór Edyty jak najbardziej uzasadniony <s> To</s> w połowie krwi <font color=\"blue\"> Cyganka</font> <font color=\"blue\"> Romka</font>",173325
16,99853,0,,,10,51,0,0,0,0,"0",2," Tak jak <s> toś</s> wspomniał gdybym była mężczyzną a na dodatek <font color=\"blue\"> gejem</font> kochała bym się w Michale ponieważ jest <font color=\"brown\"> bardzo przystojnym</font> <s> mężczyną</s> oraz dba o swój ubiór bo dużo mężczyzn ubiera się byle jak",26473
17,100007,4,,,10,51,4,1,2,0,"18",3," <font color=\"blue\"> Pedały</font> do Getta",138013
18,100020,3,,,10,51,3,1,2,0,"18",3," <s> W</s> <s> C</s> całkowicie popieram Pana stanowisko w sprawie <s> geji</s> <font color=\"blue\"> gej</font> to jak rak i powinno sie z tym walczyć bo to choroba",138633
19,100135,2,,,10,51,2,0,2,0,"18",3," Albo jesteś <font color=\"blue\"> gejem</font> i <s> te</s> słowa to zwykła zazdrość o waginę",88599
20,100163,1,,,10,51,1,0,2,0,"18",3," wszyscy wiedzą to <font color=\"blue\"> gej</font> jego chłopakiem był kiedys ten kolo który reklamował <s> tic</s> tac i <s> A</s> ubiór rzeczywiscie katastrofalny zwłaszcza buty",222791
21,100235,1,,,10,51,1,0,2,0,"18",3," Przecież ten koleś wygląda jak <font color=\"blue\"> gej</font> i w bym nie zaliczyła go do przystojnych facetów",200980
22,100356,0,,,10,77,0,0,0,0,"0",2," <s> BO</s> <s> TO</s> JEST <font color=\"blue\"> ROSJANKA</font> URODZONA <s> W</s> <s> MOSKWIE</s>",164102
23,100390,1,,,10,71,1,0,2,0,"3",3," Dla <s> Pavlovic</s> to chyba atrakcyjny kąsek <font color=\"blue\"> żydki</font> trzymają artystyczny w garści",59353
24,100455,0,,,10,71,0,0,0,0,"0",2," <font color=\"blue\"> Żydówka</font> a nie Polka",74665
25,100490,0,,,10,0,0,0,0,0,"0",2," już jakiś czas temu wyrejestrowałam <s> TV</s> nie dam grosza na abonament dla tych <font color=\"blue\"> darmozjadów</font>",48494
26,100535,0,,,10,71,0,0,0,0,"0",2," Brawo Panno Olu z poczwarki do pieknego motyla <s> Te</s> opinie o <font color=\"blue\"> zydowce</font> i <s> odziadku</s> to chyba pisze <s> bezmozg</s> ktory boi sie spojrzec w swoje lustro jesli je posiada",210310
27,100577,1,,,10,51,1,0,2,0,"18",3," Kolczyk w uchu to najprawdziwszy w zyciu <font color=\"blue\"> gej</font>",7248
28,100641,0,,,10,0,0,0,0,0,"0",2," <s> To</s> sposób bogacenia dla <font color=\"blue\"> darmozjadów</font>",194367
29,100666,1,,,10,71,1,0,2,0,"4",3," nawet mi nie mow ze ona tez jest <font color=\"blue\"> zydowka</font>",49081
30,100667,1,,,10,71,1,0,2,0,"4",3," a to musi być <font color=\"blue\"> Żyd</font>",159736
31,100681,0,,,10,13,0,0,0,0,"0",2," Usta powykrecane jak wlosy <font color=\"blue\"> murzyna</font>",162093
32,100683,0,,,10,0,0,0,0,0,"0",2," ten <font color=\"blue\"> pasożyt</font> społeczny i jej problemy ja zdobywam za ciężko zarobione pieniądze i cerę mam jak pupa mojego dziecka które cały czas mam ze sobą jest też na tych wypadach mój ukochany mąż",18120
33,100687,0,,,10,0,0,0,0,0,"0",2," Ano <s> menagerke</s> miała bo <s> całyca</s> dała było branie ale nie było wzięcia teraz dwóch <font color=\"blue\"> darmozjadów</font> będzie miała na utrzymaniu",29514
34,100860,0,,,10,71,0,0,0,0,"0",2," i to dotyczy wszystkich stron zarówno chrześcijan <font color=\"blue\"> żydów</font> muzułmanów czy agnostyków",89103
35,100920,1,,,10,10,1,0,1,0,"6",3," przesadza z biżuterią co to ma być taka mieszanka kojarzy mi się z <font color=\"blue\"> cyganką</font>",116546
36,101014,2,,,10,14,2,0,1,0,"6",3," <font color=\"blue\"> arab</font> ma rece w kieszeni a zona nosi bagaze jeszcze ciebie przezyje padniesz jak mucha z przemeczenia",203630
37,101072,0,,,10,51,0,0,0,0,"0",2," <s> Oh</s> on nie jest <font color=\"blue\"> gejem</font> ale biseksem",153263
38,101127,0,,,10,77,0,0,0,0,"0",2," co to za <font color=\"blue\"> rosjanin</font> skoro nie ma rosyjskiego nazwiska a ona <s> Ksiazkiewicz</s> to tez nie jest rosyjskie nazwisko oj chyba <s> cos</s> klamiesz kobitko",67758
