id_fragmentu,id_tekstu,ocena,od,do,id_anotatora,id_mniejszosci,negatywne_emocje,wezw_ddzial,typ_ramki,ironia_sarkazm,temat,id_projektu,tekst,id_maszynowy
4049,56,2,,,2,77,2,0,1,0,"1",2," informacja dla <font color=\"blue\"> Rosjan</font> <s> jakby</s> zajrzeli na to forum Poznań to były zabór pruski Warszawa to były zabór rosyjski <s> podobno</s> do dziś są różnice w charakterach Polaków zamieszkujących tereny <s> zabórów</s> pruskiego rosyjskiego i austriackiego tym większe różnice musiały być tuż po zakończeniu zaborów <s> Bordziłowski</s> między wierszami wskazuje na rożnice między pruską dyscypliną a rosyjskim jakoś tam będzie",213850
4046,88129,0,,,4,51,0,0,2,0,"10",2," <font color=\"blue\"> Geje</font> też są na tej liście",47840
4047,88129,0,,,4,51,0,0,2,0,"10",2," Colin jest <font color=\"blue\"> gejem</font> wie to każdy w Hollywood",47841
4048,62676,0,,,4,77,0,0,2,0,"10",2," <s> I</s> zapytaj to stado baranków czemu nie mając nic innego do roboty <font color=\"brown\"> nie pomagając</font> ani <font color=\"blue\"> ruskim</font> ani naszym nie dokumentowali",87045
4045,4,2,,,2,51,2,0,2,0,"10",2," <s> A</s> jak ci nie stanie to <s> nikita</s> nazwie cię <font color=\"blue\"> gejem</font>",235165
4041,124593,0,,,1,12,0,0,1,0,"1",2," Powstania były tragedią dla <font color=\"blue\"> Ślązaków</font>",9223
4042,4456,0,,,1,71,0,0,2,0,"10",2," RABIN <s> WEISS</s> Chrześcijanie od wieków każą swoim kurom przechodzić przez ulice pognębić nas <font color=\"blue\"> Żydów</font>",7169
4043,91460,1,,,1,14,1,0,2,0,"10",2," Jakoś nie tęsknie za Egiptem a tym bardziej za <font color=\"blue\"> arabami</font>",7186
4044,140139,2,,,2,51,2,0,1,0,"9",2," <font color=\"blue\"> cioty</font> <s> gt</s> one ta listę tworzyły",7160
4050,62676,0,,,4,77,0,0,2,0,"3",2," <s> gt</s> a wystarczyło by skoro to była zwykła katastrofa lotnicza <font color=\"blue\"> Rosjanie</font> dopuscili na miejsce <s> gt</s> wypadku od razu polskich przedstawicieli <s> np</s> kogos z ambasady BOR Przecież byli witali prezydenta na lotnisku i jak wszyscy pobiegli w stronę miejsca wypadku",87046
4051,36629,0,,,4,51,0,0,2,0,"10",2," <font color=\"blue\"> gejów</font> to teoretyczna fikcja",87054
4052,7023,0,,,4,51,0,0,1,0,"11",2," Kary za nieuczenie się o homoseksualizmie Rodzicom brytyjskich uczniów którzy nie godzą się na udział dzieci w lekcjach o ruchu <font color=\"blue\"> gejów</font> i",87100
4053,7023,0,,,4,51,0,0,2,0,"11",2," <font color=\"blue\"> lesbijek</font> grożą sprawy sądowe i kary pieniężne",87101
4054,92518,2,,,2,51,2,0,2,0,"10",2," Popieram w <s> 100</s> to są prawdziwe kobiety a nie jakieś wieszaki od projektantów <font color=\"blue\"> gejów</font>",7263
4055,54165,0,,,2,71,0,0,2,0,"10",2," Ale tego <font color=\"blue\"> Zydzi</font> z partii prawicowych oskarzyli <font color=\"blue\"> Arabow</font> czlonkow <s> Knesset</s> o zdrade i",7346
4056,135570,2,,,3,72,2,0,2,0,"10",2," Jeszcze wcześniej inna rezydentka Itaki w <s> Aska</s> skomentowała nasz przypadek a <font color=\"brown\"> nie lepiej</font> to zostawić przecież to jakaś mafia jeszcze przyjadą z <font color=\"blue\"> Niemiec</font> i dom Państwu podpalą",47842
4057,7023,0,,,4,51,0,0,2,0,"11",2," Kary za nieuczenie się <s> O</s> <s> HOMOSEKSUALIZMIE</s> Rodzicom brytyjskich uczniów którzy nie godzą się na udział dzieci w lekcjach <s> O</s> RUCHU <font color=\"blue\"> gejów</font> i",87102
